product_id,id,text,rating,date
1,chocolate-candy-box-1,Absolutely delicious! The orange flavor is my favorite.,5,2022-07-22
1,chocolate-candy-box-2,"I bought these as a gift, and they were well received. Will definitely purchase again.",4,2022-08-16
1,chocolate-candy-box-3,Nice variety of flavors. The chocolate is rich and smooth.,5,2022-09-10
1,chocolate-candy-box-4,The cherry flavor is amazing. Will be buying more.,5,2022-10-02
1,chocolate-candy-box-5,"A bit pricey, but the quality of the chocolate is worth it.",4,2022-11-05
2,dark-red-potion-1,The cherry cola flavor is very appealing. Provides a good energy boost for gaming!,4,2023-02-12
2,dark-red-potion-2,"Definitely helped me stay focused during my long gaming nights. Plus, the bottle design is pretty cool.",5,2023-03-14
2,dark-red-potion-3,"Great taste, and the energy kick is awesome. Feels just like a strength potion.",5,2023-04-05
2,dark-red-potion-4,The cherry cola flavor is a win. Keeps me energized and focused.,5,2023-05-12
3,teal-potion-1,The mint and citrus blend is very refreshing. And the bottle design is great too!,5,2023-02-12
3,teal-potion-2,"I love how it gives me the energy I need for my gaming sessions. Plus, no sugar crash.",4,2023-03-14
3,teal-potion-3,Really helps me focus during intense gaming marathons. The teal color is a nice touch.,5,2023-04-07
3,teal-potion-4,Unique flavor and great energy boost. It's the perfect gamer's drink!,5,2023-05-18
4,red-potion-1,The berry flavor is intense and delicious. Great for keeping me focused during my gaming sessions.,5,2023-02-10
4,red-potion-2,"Not only does it look cool, but it tastes great and gives a good energy boost!",5,2023-03-20
4,red-potion-3,It's like a health potion for gamers! The energy boost is spot on.,4,2023-04-09
4,red-potion-4,Good flavor and keeps me energized. The bottle design is really fun.,5,2023-05-17
5,blue-energy-potion-1,The design is just epic! And the energy boost is real.,4,2023-01-15
5,blue-energy-potion-2,Perfect for long gaming nights. Love the taste and the cool bottle design.,5,2023-02-20
5,blue-energy-potion-3,"Finally, an energy drink for gamers! It's just like a mana potion.",5,2023-03-10
5,blue-energy-potion-4,Great taste and doesn't give me a crash afterwards.,4,2023-04-01
5,blue-energy-potion-5,Really enjoyed the citrus flavor and the energy boost it gives.,5,2023-04-25
6,dragon-potion-1,"The tropical flavor is really good, and the energy kick is powerful.",5,2023-02-18
6,dragon-potion-2,Just what I need for long gaming sessions. Great flavor and energy boost.,5,2023-03-15
6,dragon-potion-3,This potion is a game changer. Love the energy boost and the flavor.,5,2023-04-11
6,dragon-potion-4,Excellent energy drink for gamers. The tropical flavor is refreshing.,4,2023-05-16
7,hiking-boots-outdoor-1,These boots are fantastic for hiking. The grip on the soles is really good.,5,2022-06-15
7,hiking-boots-outdoor-2,Comfortable and sturdy. Perfect for outdoor adventures.,5,2022-07-30
7,hiking-boots-outdoor-3,Good quality boots. They keep my feet dry and comfortable during long hikes.,4,2022-08-15
